code,name,description,secuencia,tipoLocalizacion,centroLogistico,ubicacionArea,paisOrigen
WH0088,ALL FREE ZONE SUPPLIES S A,,88,Almacén,,ZONA FRANCA INDUSTRIAL LOS ALCARRIZOS,DO
WH0084,ALEXANDER MANUFACTURING COMPANY S A,,84,Almacén,,"Z.F. IND., LA VEGA",DO
WH0090,ALL SPORTZ APPAREL LLC,,90,Almacén,,ZONA FRANCA INDUSTRIAL CARIBBEAN INDUSTRIAL PARK,DO
WH0089,ALL SPORTZ APPAREL LLC,,89,Almacén,,ZONAS FRANCAS INDUSTRIALES,DO
WH0086,ALISTA TRADING S A,,86,Almacén,,ZONAS FRANCAS ESPECIALES,DO
WH0081,ALEGRIA FARMS SRL,,81,Almacén,,,
WH0098,ALMACAR IMPORT/EXPORT,,98,Almacén,,AEROPUERTO PUNTA CANA,DO
WH0099,ALMACARIBE (ALMACENES GENERALES DEL CARIBE),,99,Almacén,,ADMINISTRACION HAINA ORIENTAL,DO
WH0093,ALLIANCE S A (EXT. Z. F. I. GAUTIER),,93,Almacén,,ZONA FRANCA INDUSTRIAL GAUTIER,DO
WH0091,ALLEN SRL,,91,Almacén,,PARQUE INDUSTRIAL LOS CANDELONES,DO
WH0095,ALLIANCE SOLAR SRL,,95,Almacén,,"PARQUE CIBERNÉTICO DE SANTO DOMINGO, S. A.",DO
WH0092,ALLIANCE S A,,92,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN CRISTÓBAL (ITABO),DO
WH0094,"ALLIANCE S A, ZFI ITABO",,94,Almacén,,"Z.F. IND., ITABO",DO
WH0096,ALLIED BRITISH CORPORATION S A,,96,Almacén,,ZONA FRANCA INDUSTRIAL DE BONAO,DO
WH0097,ALLSTAR SPORTZ APPAREL LLC,,97,Almacén,,ZONA FRANCA INDUSTRIAL CARIBBEAN INDUSTRIAL PARK,DO
WH0100,ALMACEN 07,,100,Almacén,,,
WH0102,ALMACEN DE DEPOSITO FISCAL Y GENERAL LAS AMERICAS S A,,102,Almacén,AERPUERTO INTERNACIONAL LICEY,AERPUERTO INTERNACIONAL LICEY,DO
WH0110,ALMACENES FISCALES Y SOLUCIONES ADUANALES ALMAFISA SRL,,110,Almacén,,ADMINISTRACION PUERTO MULTIMODAL CAUCEDO,DO
WH0109,ALMACENES DOMINICANOS DE DEPOSITOS S A S,,109,Almacén,DIRECCION GENERAL DE ADUANAS,ADMINISTRACION HAINA ORIENTAL,DO
